term,label
beet molasses,OWT
beet waste,OWT
biochar manure,OWT
biodegradable waste,OWT
biodiesel feedstock,OWT
biogas digestates,OWT
biogas manure,OWT
biogas residue,OWT
biogas slurry,OWT
biogenic wastes,OWT
bioleached sludge,OWT
biological sludge,OWT
biological waste,OWT
biological wastewater,OWT
biomanure,OWT
biomass ashes,OWT
biomass bagasse,OWT
biomass residue,OWT
biomass waste,OWT
bio slurry,OWT
bio waste,OWT
biowaste materials,OWT
bovine manure,OWT
bran waste,OWT
branch waste,OWT
bread residues,OWT
bread waste,OWT
brewery effluent,OWT
brewery sludges,OWT
broiler manure,OWT
buffalo dung,OWT
buffalo manure,OWT
building wastewater,OWT
bunch waste,OWT
cabbage waste,OWT
cane bagasse,OWT
cane molasses,OWT
cane residues,OWT
cane straw,OWT
cane vinasse,OWT
canteen waste,OWT
carabao manure,OWT
carbide sludge,OWT
cassava bagasse,OWT
cassava biomass,OWT
cassava effluent,OWT
cassava leaf,OWT
cassava peel,OWT
cassava residue,OWT
cassava stalks,OWT
cassava waste,OWT
cassava wastewater,OWT
cellulosic waste,OWT
cereal residues,OWT
charcoal residues,OWT
chicken litter,OWT
chicken waste,OWT
chicken manure,OWT
chrysanthemum waste,OWT
citronella bagasse,OWT
citrus residues,OWT
citrus waste,OWT
city waste,OWT
cob bagasse,OWT
cocoa pods,OWT
cocoa residues,OWT
coconut coir,OWT
coconut fiber,OWT
coconut fibre,OWT
coconut fronds,OWT
coconut husk,OWT
coconut leaf,OWT
coconut shell,OWT
coconut waste,OWT
coffee husk,OWT
coffee residues,OWT
coffee waste,OWT
coir dust,OWT
coir fibers,OWT
coir waste,OWT
compost residuals,OWT
corn residue,OWT
corn stalk,OWT
corn straw,OWT
corn waste,OWT
corncob residue,OWT
cornstalk biochar,OWT
cotton stalk,OWT
cotton waste,OWT
cow urine,OWT
cow dung,OWT
cow manure,OWT
crop residue,OWT
crop straw,OWT
crop waste,OWT
crop residues,OWT
cucumber residue,OWT
cucumber stalk,OWT
dairy effluent,OWT
dairy manure,OWT
dairy waste,OWT
dairy wastewater,OWT
date waste,OWT
deer manure,OWT
dewatered sewage,OWT
dewatered sludge,OWT
dewatered waste,OWT
digestate,OWT
digestate disposal,OWT
digestate effluent,OWT
digestate residues,OWT
digestate sludge,OWT
digestate slurry,OWT
digestate wastewater,OWT
digestor sludge,OWT
distillation effluents,OWT
distillation residues,OWT
distillation waste,OWT
distillery effluent,OWT
distillery residues,OWT
distillery sludge,OWT
distillery waste,OWT
distillery wastewater,OWT
domestic garbage,OWT
domestic sewage,OWT
domestic waste,OWT
domestic wastewater,OWT
dry cornstalk,OWT
dry leaves,OWT
duck manure,OWT
dung,OWT
dung bedding,OWT
dung poultry,OWT
dung slurry,OWT
effluent,OWT
effluent sludge,OWT
effluent slurry,OWT
eggshell waste,OWT
elephant dung,OWT
emblica residues,OWT
faecal sludge,OWT
faecal slurry,OWT
faeces,OWT
farm manure,OWT
farm residues,OWT
farm waste,OWT
farmyard manure,OWT
feces,OWT
feedlot manure,OWT
fermentation byproduct,OWT
fermentation effluent,OWT
fermentation residue,OWT
fermentation waste,OWT
fermentation wastewater,OWT
fiber waste,OWT
fibrous residue,OWT
fish waste,OWT
floral wastes,OWT
flotation sludge,OWT
food residuals,OWT
food waste,OWT
forest debris,OWT
forest residues,OWT
forestry residue,OWT
forestry waste,OWT
fowl manure,OWT
fromswine manure,OWT
fruit peel,OWT
fruit pomace,OWT
fruit residues,OWT
fruit waste,OWT
garbage classification,OWT
garden waste,OWT
gin waste,OWT
glutamate wastewater,OWT
goat dung,OWT
goat manure,OWT
granular sludge,OWT
grass straw,OWT
green manure,OWT
green waste,OWT
greenhouse wastes,OWT
harvest residue,OWT
hazelnut husk,OWT
hazelnut shell,OWT
hen manure,OWT
herb residue,OWT
horse dung,OWT
horse manure,OWT
horticultural waste,OWT
household garbage,OWT
household waste,OWT
human excreta,OWT
human faeces,OWT
human urine,OWT
human waste,OWT
husbandry waste,OWT
husk ash,OWT
husk biochar,OWT
husk fiber,OWT
husks,OWT
hyacinth hydrolysate,OWT
hydrolytic garbage,OWT
juice waste,OWT
khat waste,OWT
kitchen waste,OWT
kitchen wastewater,OWT
lantana residue,OWT
latex effluent,OWT
latex residue,OWT
layer manure,OWT
leaf litter,OWT
leaf manure,OWT
leaf residues,OWT
leaf waste,OWT
leaflet residues,OWT
leftover wastes,OWT
legume residue,OWT
leguminous residues,OWT
lignin wastes,OWT
lignocellulosic biomass,OWT
lignocellulosic byproducts,OWT
lignocellulosic digestates,OWT
lignocellulosic residue,OWT
lime waste,OWT
liquefaction wastewater,OWT
liquid digestate,OWT
liquid manure,OWT
liquid wastes,OWT
litter,OWT
litter waste,OWT
livestock dungs,OWT
livestock faeces,OWT
livestock manure,OWT
livestock waste,OWT
livestock wastewater,OWT
macroalgal biomass,OWT
macrocystis pyrifera,OWT
maize biomass,OWT
maize bran,OWT
maize husk,OWT
maize residue,OWT
maize stalks,OWT
maize straw,OWT
maize wastes,OWT
mango bagasse,OWT
mango peel,OWT
manure,OWT
manure biowaste,OWT
manure digestate,OWT
manure litter,OWT
manure mix,OWT
manure mixture,OWT
manure slurry,OWT
manure tea,OWT
manure waste,OWT
manure wheat,OWT
manure paper,OWT
manure straw,OWT
market waste,OWT
meal biomass,OWT
meal biochar,OWT
meat waste,OWT
mezcal vinasses,OWT
milk sludge,OWT
mill effluent,OWT
mill residues,OWT
mill sludge,OWT
mill waste,OWT
mill wastewater,OWT
milled bagasse,OWT
millet biomass,OWT
millet leaves,OWT
millet stover,OWT
millet straw,OWT
millipede manure,OWT
mint residue,OWT
mix dung,OWT
mixed sludge,OWT
molasses,OWT
mungbean residue,OWT
municipal biomass,OWT
municipal biowaste,OWT
municipal sewage,OWT
municipal sludge,OWT
municipal waste,OWT
municipal wastewater,OWT
mushroom residue,OWT
mushroom wastes,OWT
mustard residue,OWT
mustard straw,OWT
neem leaves,OWT
nitrate sewage,OWT
nitrogen wastewater,OWT
nut residue,OWT
nut shell,OWT
oat hay,OWT
oat straw,OWT
ofmsw,OWT
oil sludge,OWT
oil wastes,OWT
oilseed residue,OWT
oily waste,OWT
okra waste,OWT
olive cake,OWT
olive husk,OWT
olive pomace,OWT
onion waste,OWT
orange peel,OWT
orange waste,OWT
orchard residue,OWT
organic amendment,OWT
organic biomass,OWT
organic garbage,OWT
organic manure,OWT
organic residue,OWT
organic sludge,OWT
organic wastewater,OWT
organic waste,OWT
oven wastewater,OWT
ovine manure,OWT
paddy straw,OWT
palm fibre,OWT
palm rachis,OWT
palm residue,OWT
palm waste,OWT
paper effluent,OWT
paper sludge,OWT
paper waste,OWT
paper wastewater,OWT
peanut residues,OWT
peanut shell,OWT
pear waste,OWT
peel,OWT
peel biowaste,OWT
peel residue,OWT
peel waste,OWT
phumdi biomass,OWT
pig carcass,OWT
pig dung,OWT
pig excreta,OWT
pig litter,OWT
pig sludge,OWT
pig slurry,OWT
pig waste,OWT
piggery digestate,OWT
piggery dung,OWT
piggery manure,OWT
piglet carcases,OWT
pig manure,OWT
pigweed,OWT
pine sawdust,OWT
pineapple leaf,OWT
pineapple peel,OWT
pineapple residue,OWT
pineapple waste,OWT
pistachio residues,OWT
pistachio waste,OWT
plant biomass,OWT
plant litter,OWT
plant residue,OWT
plant wastes,OWT
plantation residues,OWT
pod waste,OWT
pomace,OWT
pomegranate wastes,OWT
pomelo peel,OWT
pond manure,OWT
poplar sawdust,OWT
populnea wastes,OWT
potato peel,OWT
potato residues,OWT
potato waste,OWT
poultry carcass,OWT
poultry excreta,OWT
poultry feces,OWT
poultry litter,OWT
poultry manure,OWT
poultry waste,OWT
powder waste,OWT
press cake,OWT
press mud,OWT
pretreated digestate,OWT
pretreated lignocellulose,OWT
pretreated waste,OWT
primary sludge,OWT
pulp,OWT
pulp waste,OWT
pulp wastewater,OWT
pure sludge,OWT
pyrolyzed agrowastes,OWT
rabbit manure,OWT
recycled digestate,OWT
refuse sludge,OWT
residual manure,OWT
residue cornstalk,OWT
residue mixtures,OWT
residue wastes,OWT
rice bran,OWT
rice chaff,OWT
rice hull,OWT
rice husk,OWT
rice residue,OWT
rice waste,OWT
rice straw,OWT
root biomass,OWT
root waste,OWT
rubber leaf,OWT
rural wastes,OWT
rural wastewater,OWT
saffron residue,OWT
saline waste,OWT
sawdust,OWT
sawdust litter,OWT
seafood waste,OWT
seaweed biomass,OWT
seaweed residues,OWT
seaweed waste,OWT
secondary sludge,OWT
seed hull,OWT
seed husks,OWT
seed residue,OWT
sewage,OWT
sewage biosolid,OWT
sewage effluent,OWT
sewage sludge,OWT
sewage wastewater,OWT
sheep dung,OWT
sheep manure,OWT
shell biomass,OWT
shell waste,OWT
shrimp shell,OWT
shrimp sludge,OWT
slaughterhouse biomass,OWT
slaughterhouse residues,OWT
slaughterhouse sludge,OWT
slaughterhouse waste,OWT
slaughterhouse wastewater,OWT
sludge,OWT
sludge biomass,OWT
sludge mixture,OWT
slurries,OWT
solid digestate,OWT
solid manure,OWT
solid residue,OWT
solid waste,OWT
sorghum bagasse,OWT
sorghum husk,OWT
sorghum stalks,OWT
sorghum stover,OWT
sorghum straw,OWT
soybean hull,OWT
soybean molasses,OWT
soybean residue,OWT
soybean straw,OWT
soybean waste,OWT
spent slurry,OWT
spent wash,OWT
stalk residue,OWT
starch residue,OWT
starch wastewater,OWT
starchy waste,OWT
straw,OWT
straw biomass,OWT
straw hydrolysate,OWT
straw residue,OWT
straw substrates,OWT
straw waste,OWT
sugarbeet residues,OWT
sugarcane biomass,OWT
sugarcane leaf,OWT
sugarcane molasses,OWT
sugarcane residue,OWT
sugarcane scum,OWT
sugarcane straw,OWT
sugarcane trash,OWT
sugarcane vinasse,OWT
sugarcane bagasse,OWT
sunflower cake,OWT
sunflower hulls,OWT
sunflower residues,OWT
sunflower stalks,OWT
sustainable agriwaste,OWT
sustainable waste,OWT
swine digestate,OWT
swine feces,OWT
swine sludge,OWT
swine slurry,OWT
swine waste,OWT
swine wastewater,OWT
swine manure,OWT
tank sludge,OWT
tannery effluent,OWT
tannery sludge,OWT
tannery waste,OWT
tea residue,OWT
tea waste,OWT
tequila vinasse,OWT
tequilana bagasse,OWT
thermochemical digestate,OWT
tobacco waste,OWT
tofu wastewater,OWT
tomato residues,OWT
tomato waste,OWT
tree leaf,OWT
tree residues,OWT
tropical sludges,OWT
tropical wastes,OWT
turkey litter,OWT
untreated leaf,OWT
untreated waste,OWT
unused biomass,OWT
urban garbage,OWT
urban sludge,OWT
urban waste,OWT
urban wastewater,OWT
urine,OWT
vegetable peels,OWT
vegetable residue,OWT
vegetable waste,OWT
vetch residues,OWT
vinasse,OWT
vinegar residue,OWT
viticulture waste,OWT
walnut shells,OWT
wash sludge,OWT
waste,OWT
waste cocoa,OWT
waste digestate,OWT
waste effluents,OWT
waste leachate,OWT
waste paddy,OWT
waste seeds,OWT
waste sludge,OWT
waste sweetpotato,OWT
waste vermicompost,OWT
waste wood,OWT
waste biosolids,OWT
wastepaper,OWT
waste rice,OWT
waste water,OWT
wastewater biomass,OWT
wastewater biosolids,OWT
wastewater effluent,OWT
wastewater sludge,OWT
wastewater leachate,OWT
water biosolids,OWT
water waste,OWT
weed,OWT
weed residues,OWT
wheat bran,OWT
wheat husk,OWT
wheat residue,OWT
wheat straw,OWT
whey wastewater,OWT
wine wastes,OWT
winery waste,OWT
wood sawdust,OWT
woodchips,OWT
woody biomass,OWT
woody peat,OWT
worm manure,OWT
yard leaf,OWT
yard manure,OWT
yard waste,OWT
yeast waste,OWT
agricultural crop,AV
agricultural fertilization,AV
agricultural field,AV
agricultural intensification,AV
agricultural land,AV
agricultural mulch,AV
agricultural production,AV
agricultural utilization,AV
agricultural valorization,AV
agroforestry mulches,AV
alfalfa,AV
alfalfa growth,AV
allelopathic crop,AV
alley cropping,AV
alternative mulches,AV
amendment,AV
amendment rates,AV
bagasse amendment,AV
banana crop,AV
bean intercrop,AV
beet crop,AV
biocompost application,AV
bio fertilization,AV
biofertilizer inoculants,AV
biofertilizer production,AV
biological amendments,AV
bio mulches,AV
biophosphate,AV
bunch mulch,AV
cabbage cultivation,AV
cabbage seedlings,AV
cabbage yield,AV
cane crop,AV
carrot crops,AV
cereal crop,AV
cereal crops,AV
charcoal amendment,AV
comparative fertility,AV
compost addition,AV
compost amendment,AV
compost application,AV
compost burial,AV
compost effect,AV
compost fertilization,AV
compost incorporation,AV
compost supplementation,AV
compost usage,AV
compost utilisation,AV
compound fertilizer,AV
consecutive amendment,AV
consecutive application,AV
conservation agriculture,AV
corn crop,AV
crop,AV
crop mulch,AV
crop production,AV
crop productivity,AV
crop rotation,AV
crop system,AV
crop yield,AV
dadap mulches,AV
degradable mulch,AV
digestate biofertilizer,AV
dioscorea,AV
dioscorea cayenensis,AV
dioscorea composita,AV
dioscorea rotundata,AV
ecofriendly fertilizer,AV
fertility,AV
fertility improvement,AV
fertility indicators,AV
fertility management,AV
fertility potential,AV
fertility properties,AV
fertility response,AV
fertility soils,AV
fertility status,AV
fertilization,AV
fertilization effects,AV
fertilization impacts,AV
fertilization influence,AV
fertilization practices,AV
fertilizer addition,AV
fertilizer application,AV
fertilizer concentration,AV
fertilizer doses,AV
fertilizer efficiency,AV
fertilizer inputs,AV
fertilizer level,AV
fertilizer nitrogen,AV
fertilizer pellets,AV
fertilizer rate,AV
fertilizer recovery,AV
fertilizer supplement,AV
fertilizer utilization,AV
fertilizer values,AV
field corn,AV
field maize,AV
field mustard,AV
field production,AV
film mulch,AV
fodder crop,AV
fodder legumes,AV
fodder production,AV
fodder weeds,AV
fodder yield,AV
fodderbeet,AV
fodderbeet production,AV
foliar fertilizer,AV
food vegetable,AV
forage alfalfa,AV
forage grasses,AV
forage legumes,AV
forage production,AV
forage sorghum,AV
forage yield,AV
french bean,AV
frond mulch,AV
fruit crops,AV
fruit cultivation,AV
fruit production,AV
fruit vegetables,AV
fruit yield,AV
garlic crop,AV
giant grass,AV
ginger crop,AV
ginger production,AV
grapevine productivity,AV
grass,AV
grass mulch,AV
green beans,AV
green maize,AV
green mustard,AV
green soybean,AV
greengram crop,AV
greenhouse pepper,AV
greenhouse tomato,AV
green mulch,AV
ground biochar,AV
groundnut crop,AV
hazelnut yield,AV
herb production,AV
horticultural production,AV
horticulture,AV
humic fertilizer,AV
hybrid rice,AV
indigenous crops,AV
industrial crop,AV
intensive rice,AV
intensive vegetable,AV
intercrop,AV
ipomoea batatas,AV
ipomoea staphylina,AV
jatropha seed,AV
jatropha seedlings,AV
jujube,AV
kidney bean,AV
land rice,AV
legume,AV
legume crop,AV
legume productivity,AV
leguminous cover,AV
leguminous crop,AV
lemon,AV
lemon basil,AV
lemon grass,AV
lentil cultivars,AV
lettuce,AV
lettuce crops,AV
lettuce growth,AV
lettuce production,AV
lettuce seedling,AV
leucaena mulch,AV
lignocellulosic crop,AV
liquid fertilizer,AV
litter mulch,AV
long beans,AV
lowland rice,AV
lycopersicon esculentum,AV
maize,AV
maize bioassay,AV
maize chickpea,AV
maize cob,AV
maize crop,AV
maize cultivation,AV
maize growth,AV
maize harvesting,AV
maize high,AV
maize hybrids,AV
maize performance,AV
maize production,AV
maize productivity,AV
maize rotation,AV
maize system,AV
maize wheat,AV
maize yield,AV
maize brachiaria,AV
maize cotton,AV
maize groundnut,AV
maize winter,AV
malus domestica,AV
mangifera indica,AV
mango,AV
mango litter,AV
mango orchard,AV
manihot esculenta,AV
manure addition,AV
manure amendment,AV
manure application,AV
manure biochar,AV
manure fertilizer,AV
material amendments,AV
melon,AV
melon seed,AV
millet crop,AV
millet growth,AV
millet monoculture,AV
millet production,AV
millet yield,AV
millet cowpea,AV
mineral balance,AV
mineral complementation,AV
mineral mulches,AV
minimum tillage,AV
mint cultivation,AV
miscanthus spp,AV
mixed crop,AV
mixed culture,AV
monoculture,AV
moringa,AV
moringa crop,AV
morus alba,AV
mulberry,AV
mulch,AV
mulch amendments,AV
mulch application,AV
mulch decomposition,AV
mulch effects,AV
mulch fractions,AV
mulch materials,AV
mulch modes,AV
mulch quality,AV
mulch soil,AV
mulch system,AV
mulch types,AV
mung bean,AV
mungbean yield,AV
musa aab,AV
musa paradisiaca,AV
musa spp,AV
mushroom cultivation,AV
mushroom culture,AV
mushroom growth,AV
mushroom production,AV
mushrooms,AV
mustard,AV
mustard crop,AV
mycorhization,AV
mycorrhizae,AV
mycorrhizal fungi,AV
mycorrhizal inoculant,AV
mycorrhizal population,AV
n2 fixation,AV
n2 fixing,AV
napier grass,AV
natural fertilizer,AV
neem seedlings,AV
n fertilization,AV
niagara rosada,AV
nigella sativa,AV
nitrogen amendment,AV
nitrogen stress,AV
nitrogen supplementation,AV
nitrogen supply,AV
nonfood crops,AV
no till,AV
no tillage,AV
np fertilizers,AV
npk,AV
npk fertilizers,AV
npk status,AV
npk uptake,AV
oilseed,AV
okara soybean,AV
okra,AV
okra production,AV
oleifera,AV
oleifera abel,AV
onion,AV
onion crop,AV
onion production,AV
onion yield,AV
orchard,AV
orchard productivity,AV
organic agriculture,AV
organic crop,AV
organic fertilization,AV
organic mulch,AV
organic okra,AV
organic pineapple,AV
organic potato,AV
organic tomato,AV
organophosphate,AV
organophosphate pollutants,AV
oryza sativa,AV
paddies,AV
paddy ecosystem,AV
paddy field,AV
paddy rice,AV
palm plantation,AV
palm production,AV
palm replanting,AV
palm seedlings,AV
pasture soils,AV
pea system,AV
peanut production,AV
peanut productivity,AV
pear orchards,AV
pepper crop,AV
pepper yield,AV
persimmon cultivation,AV
phosphate additive,AV
phosphate amendments,AV
phosphate biofertilizer,AV
phosphate fertilizer,AV
phosphorus fertilization,AV
phosphorus fertilizer,AV
pigeonpea wheat,AV
pineapple production,AV
pistachio production,AV
pistachio seedlings,AV
polyculture,AV
polyculture plantation,AV
polyculture system,AV
polyculture vermireactors,AV
potassic fertilizer,AV
potassium application,AV
potassium availability,AV
potassium fertilization,AV
potassium pools,AV
potassium supplementation,AV
potassium supply,AV
potato crop,AV
potato growth,AV
potato production,AV
potato productivity,AV
potato varieties,AV
potato yield,AV
potatoes,AV
priming effect,AV
radish field,AV
rainfed agricultural,AV
rainfed agroecosystems,AV
rainfed fig,AV
rainfed groundnut,AV
rainfed maize,AV
rainfed mustard,AV
rainfed orchard,AV
rainfed rice,AV
rainfed soybean,AV
rainfed sugarcane,AV
rainfed wheat,AV
raphanus sativus,AV
ratoon crop,AV
residual crop,AV
residue amendments,AV
residue application,AV
rice crop,AV
rice field,AV
rice growth,AV
rice harvest,AV
rice production,AV
rice productivity,AV
rice rotation,AV
rice system,AV
rice wheat,AV
rice yield,AV
rice cropping,AV
rice maize,AV
root crops,AV
root culture,AV
season crop,AV
seaweed fertilizer,AV
selected crop,AV
semiarid agroecosystem,AV
sesame productivity,AV
shallot cultivation,AV
shallot production,AV
shallot yield,AV
siamea mulch,AV
sludge amendment,AV
sludge biochar,AV
sludge fertilization,AV
sludge incorporation,AV
slurry application,AV
snake cucumber,AV
soil amelioration,AV
soil amendment,AV
solanum melongena,AV
solanum tuberosum,AV
sorghum cotton,AV
sorghum crop,AV
sorghum growth,AV
sorghum production,AV
sorghum productivity,AV
sorghum rotation,AV
sorghum yield,AV
sorghum oats,AV
soybean agroecosystem,AV
soybean cultivation,AV
soybean ecosystem,AV
soybean fields,AV
soybean production,AV
soybean productivity,AV
soybean wheat,AV
soybean yield,AV
spinacia oleracea,AV
straw amendment,AV
straw application,AV
straw mulch,AV
strawberry production,AV
strawberry yield,AV
straw mulching,AV
substrate amendments,AV
sugar cane,AV
sugar crop,AV
sugarcane crop,AV
sugarcane cultivation,AV
sugarcane field,AV
sugarcane growth,AV
sugarcane mulches,AV
sugarcane plantation,AV
sugarcane production,AV
sugarcane productivity,AV
sugarcane yield,AV
summer chilli,AV
summer crop,AV
summer legume,AV
summer maize,AV
summer okra,AV
summer sesame,AV
sunflower crop,AV
sunflower growth,AV
sunflower yield,AV
sustainable crop,AV
sustainable rice,AV
syzygium aromaticum,AV
tagetes erecta,AV
taro,AV
taro plant,AV
tea productivity,AV
theobroma cacao,AV
tomato,AV
tomato crop,AV
tomato cultivation,AV
tomato field,AV
tomato growth,AV
tomato harvest,AV
tomato production,AV
tomato yield,AV
trash mulch,AV
triticum durum,AV
tropical agriculture,AV
tropical agroecosystem,AV
tuber crop,AV
turf culture,AV
turfgrass production,AV
urban agriculture,AV
urban agroecosystems,AV
vegetable,AV
vegetable cowpea,AV
vegetable crop,AV
vegetable field,AV
vegetable growth,AV
